Date,price,log_return,volatility_20d,mean_return_20d,ma_50,price_ma_ratio,regime,regime_label,baseline_return,regime_strategy_return,baseline_equity,regime_equity
2010-04-19,5203.64990234375,-0.0112649360952642,0.0076274850964522,-0.0002707099246102,5086.87701171875,1.0229557133691238,2,Bull / Risk-On,-0.0112649360952642,-0.0112649360952642,0.9887350639047358,0.9887350639047358
2010-04-20,5230.10009765625,0.0050701333602508,0.0076947273977047,-0.0001508191739894,5094.87701171875,1.0265409912008618,2,Bull / Risk-On,0.0050701333602508,0.0050701333602508,0.9937480825366888,0.9937480825366888
2010-04-21,5244.89990234375,0.0028257402454029,0.0076862217783155,-0.0001703505063674,5101.1380078125,1.0281823182025414,2,Bull / Risk-On,0.0028257402454029,0.0028257402454029,0.9965561564873046,0.9965561564873046
2010-04-22,5269.35009765625,0.0046508765504513,0.0073128628009111,0.0006124435188855,5109.6180078125,1.0312610628817112,2,Bull / Risk-On,0.0046508765504513,0.0046508765504513,1.0011910161467192,1.0011910161467192
2010-04-23,5304.10009765625,0.0065730909918724,0.0074010424915884,0.0007483974860146,5121.32701171875,1.0356886185004928,2,Bull / Risk-On,0.0065730909918724,0.0065730909918724,1.0077719357960968,1.0077719357960968
2010-04-26,5322.4501953125,0.0034536355429986,0.007298758350123,0.0005863354717181,5132.568017578125,1.0369955501971064,2,Bull / Risk-On,0.0034536355429986,0.0034536355429986,1.0112524127727986,1.0112524127727986
2010-04-27,5308.35009765625,-0.0026526894562823,0.007283898337221,0.0002488128512198,5142.882021484375,1.0321741925015258,2,Bull / Risk-On,-0.0026526894562823,-0.0026526894562823,1.0085698741597962,1.0085698741597962
2010-04-28,5215.4501953125,-0.0176556591711249,0.0082451855673999,-0.0008309509283306,5152.047021484375,1.0123064043405912,2,Bull / Risk-On,-0.0176556591711249,-0.0176556591711249,0.9907629082113665,0.9907629082113665
2010-04-29,5254.14990234375,0.0073928102175396,0.008276568121209,-7.89256472164007e-05,5160.593017578125,1.0181290957157343,2,Bull / Risk-On,0.0073928102175396,0.0073928102175396,0.9980874303623507,0.9980874303623507
2010-04-30,5278.0,0.0045290161353799,0.0083167783538327,0.0002745293070103,5170.114013671875,1.0208672354309465,2,Bull / Risk-On,0.0045290161353799,0.0045290161353799,1.0026077844389816,1.0026077844389816
